symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HDB,2018-07-16 00:00:00+00:00,110.67,111.3,109.38,110.11,401601,53.1480697185,53.4506204,52.5285611801,52.8791357793,803202,0.0,1.0
HDB,2018-07-17 00:00:00+00:00,110.89,111.4,109.61,110.7,378088,53.2537223374,53.4986443177,52.6390161908,53.1624768938,756176,0.0,1.0
HDB,2018-07-18 00:00:00+00:00,110.98,111.21,110.29,110.89,277618,53.2969438633,53.407398874,52.9655788312,53.2537223374,555236,0.0,1.0
HDB,2018-07-19 00:00:00+00:00,110.17,110.92,110.15,110.54,403428,52.90795013,53.2681295127,52.8983453464,53.0856386254,806856,0.0,1.0
HDB,2018-07-20 00:00:00+00:00,111.45,111.97,110.0,110.25,652484,53.5226562765,53.7723806486,52.8263094699,52.9463692641,1304968,0.0,1.0
HDB,2018-07-23 00:00:00+00:00,109.06,111.0,108.61,111.0,627312,52.3748846435,53.3065486469,52.1587770138,53.3065486469,1254624,0.0,1.0
HDB,2018-07-24 00:00:00+00:00,108.73,109.89,108.1,109.57,461797,52.2164057151,52.7734831604,51.9138550336,52.6198066238,923594,0.0,1.0
HDB,2018-07-25 00:00:00+00:00,109.46,109.47,107.82,108.97,621480,52.5669803143,52.5717827061,51.779388064,52.3316631176,1242960,0.0,1.0
HDB,2018-07-26 00:00:00+00:00,109.24,110.24,109.1,109.4,474952,52.4613276953,52.9415668723,52.3940942106,52.5381659637,949904,0.0,1.0
HDB,2018-07-27 00:00:00+00:00,109.65,110.07,109.27,109.84,435002,52.6582257579,52.8599262123,52.4757348707,52.7494712015,870004,0.0,1.0
HDB,2018-07-30 00:00:00+00:00,106.17,109.5,105.32,108.75,1173860,50.986993422,52.5861898814,50.5787901215,52.2260104986,2347720,0.0,1.0
HDB,2018-07-31 00:00:00+00:00,103.34,105.0,103.13,104.0,3048080,49.6279165511,50.4251135849,49.5270663239,49.9448744079,6096160,0.0,1.0
HDB,2018-08-01 00:00:00+00:00,103.67,104.39,103.61,104.01,1751387,49.7863954795,50.1321676869,49.7575811288,49.9496767996,3502774,0.0,1.0
