symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
HDB,2018-08-08 00:00:00+00:00,104.64,104.81,103.89,104.06,606102,50.7675351947,50.8500130328,50.4036623793,50.4861402175,1212204,0.0,1.0
HDB,2018-08-09 00:00:00+00:00,104.22,104.48,103.69,104.23,242628,50.5637664181,50.6899089941,50.3066296286,50.5686180556,485256,0.0,1.0
HDB,2018-08-10 00:00:00+00:00,101.94,102.65,100.41,101.85,1712407,49.4575930595,49.8020593246,48.7152925162,49.4139283216,3424814,0.0,1.0
HDB,2018-08-13 00:00:00+00:00,100.28,101.61,100.19,101.09,961217,48.6522212282,49.2974890207,48.6085564904,49.0452038688,1922434,0.0,1.0
HDB,2018-08-14 00:00:00+00:00,99.99,101.1,99.81,101.07,792367,48.5115237396,49.0500555063,48.4241942639,49.0355005937,1584734,0.0,1.0
HDB,2018-08-15 00:00:00+00:00,99.15,99.9,98.68,99.7,925158,48.1039861864,48.4678590018,47.8759592222,48.370826251,1850316,0.0,1.0
HDB,2018-08-16 00:00:00+00:00,99.51,99.87,98.92,99.79,723101,48.2786451378,48.4533040892,47.9923985231,48.4144909889,1446202,0.0,1.0
HDB,2018-08-17 00:00:00+00:00,99.99,100.24,99.41,99.44,266585,48.5115237396,48.6328146781,48.2301287624,48.244683675,533170,0.0,1.0
HDB,2018-08-20 00:00:00+00:00,100.7,101.44,100.39,100.78,408777,48.8559900048,49.2150111826,48.7055892411,48.8948031051,817554,0.0,1.0
HDB,2018-08-21 00:00:00+00:00,100.96,101.87,100.91,100.93,530699,48.9821325808,49.4236315967,48.9578743931,48.9675776682,1061398,0.0,1.0
HDB,2018-08-22 00:00:00+00:00,100.95,101.23,100.61,100.99,406374,48.9772809432,49.1131267943,48.812325267,48.9966874934,812748,0.0,1.0
HDB,2018-08-23 00:00:00+00:00,99.17,100.62,99.1,100.07,604112,48.1136894615,48.8171769045,48.0797279988,48.5503368399,1208224,0.0,1.0
HDB,2018-08-24 00:00:00+00:00,100.13,100.16,99.28,99.8,363222,48.5794466651,48.5940015778,48.1670574744,48.4193426264,726444,0.0,1.0
HDB,2018-08-27 00:00:00+00:00,101.41,101.52,100.21,100.29,430276,49.20045627,49.2538242829,48.6182597654,48.6570728657,860552,0.0,1.0
HDB,2018-08-28 00:00:00+00:00,101.09,101.69,100.53,101.61,230781,49.0452038688,49.336302121,48.7735121667,49.2974890207,461562,0.0,1.0
HDB,2018-08-29 00:00:00+00:00,101.42,101.5,100.4,100.57,550731,49.2053079075,49.2441210078,48.7104408787,48.7929187168,1101462,0.0,1.0
HDB,2018-08-30 00:00:00+00:00,100.76,100.87,100.1,100.5,508249,48.88509983,48.9384678429,48.5648917525,48.758957254,1016498,0.0,1.0
HDB,2018-08-31 00:00:00+00:00,101.27,101.45,100.15,100.4,459971,49.1325333444,49.2198628201,48.5891499402,48.7104408787,919942,0.0,1.0
HDB,2018-09-04 00:00:00+00:00,99.61,99.87,98.7,99.7,641789,48.3271615132,48.4533040892,47.8856624973,48.370826251,1283578,0.0,1.0
HDB,2018-09-05 00:00:00+00:00,98.39,99.0,98.06,98.9,582814,47.7352617336,48.0312116234,47.5751576948,47.982695248,1165628,0.0,1.0
HDB,2018-09-06 00:00:00+00:00,98.27,98.68,98.06,98.48,696828,47.6770420831,47.8759592222,47.5751576948,47.7789264714,1393656,0.0,1.0
HDB,2018-09-07 00:00:00+00:00,98.16,98.71,97.99,98.44,575054,47.6236740702,47.8905141348,47.5411962321,47.7595199213,1150108,0.0,1.0
HDB,2018-09-10 00:00:00+00:00,96.82,98.08,96.53,97.65,780141,46.9735546402,47.5848609699,46.8328571516,47.3762405558,1560282,0.0,1.0
